epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.305,2.09259,3.98109,2.6137,0.11947,0.15071,0.11884,0.05007,2.05885,3.526,2.12396,8.75e-05,8.75e-05,8.75e-05
2,26.4491,1.95054,3.61036,2.333,0.13902,0.15244,0.16397,0.0857,1.90394,3.28317,1.97359,0.000183787,0.000183787,0.000183787
3,27.6681,1.8201,3.3293,1.82734,0.16387,0.23376,0.24613,0.13946,1.76616,3.02367,1.82645,0.000276115,0.000276115,0.000276115
4,28.8562,1.68071,2.96035,1.97057,0.2704,0.35061,0.34796,0.19671,1.71621,2.72608,1.75369,0.000364482,0.000364482,0.000364482
5,30.0787,1.54353,2.62833,1.78549,0.51301,0.35667,0.4187,0.22835,1.70462,2.52199,1.70713,0.00044889,0.00044889,0.00044889
6,31.9808,1.55556,2.42756,1.81433,0.35583,0.42577,0.43814,0.25482,1.68518,2.3395,1.6377,0.000529338,0.000529338,0.000529338
7,33.1989,1.62053,2.2588,1.51859,0.63608,0.44039,0.49251,0.29692,1.65968,2.1446,1.62079,0.000605825,0.000605825,0.000605825
8,34.4423,1.5787,2.05307,1.72517,0.74345,0.4265,0.52184,0.31266,1.65022,2.05366,1.61548,0.000678352,0.000678352,0.000678352
9,35.7504,1.59865,1.95059,1.74142,0.53855,0.51336,0.54644,0.32142,1.65513,1.91039,1.61029,0.00074692,0.00074692,0.00074692
10,36.9483,1.55632,1.72537,1.71714,0.58618,0.52302,0.55099,0.31754,1.67186,1.87556,1.61695,0.000811528,0.000811528,0.000811528
11,38.1386,1.47726,1.58457,1.6312,0.58933,0.5138,0.54298,0.31093,1.66083,1.84707,1.58626,0.000872175,0.000872175,0.000872175
12,39.3828,1.55404,1.71842,1.59021,0.62586,0.46377,0.56176,0.32233,1.61929,1.80401,1.55593,0.000928863,0.000928863,0.000928863
13,40.6562,1.4146,1.49616,1.55394,0.73528,0.49983,0.62355,0.33916,1.5934,1.74759,1.55618,0.000953,0.000953,0.000953
14,41.9437,1.45088,1.46369,1.57312,0.79768,0.50118,0.63855,0.35181,1.57691,1.68568,1.5515,0.00092825,0.00092825,0.00092825
15,43.2352,1.45951,1.51046,1.62483,0.78865,0.49075,0.63438,0.35908,1.57757,1.639,1.54814,0.0009035,0.0009035,0.0009035
16,45.5049,1.43758,1.44992,1.69224,0.73674,0.52758,0.63246,0.3636,1.57151,1.62053,1.54609,0.00087875,0.00087875,0.00087875
17,46.749,1.43071,1.32135,1.52796,0.71928,0.54221,0.62378,0.38312,1.58221,1.56295,1.54396,0.000854,0.000854,0.000854
18,47.9834,1.42985,1.30664,1.59486,0.73292,0.56516,0.65053,0.37498,1.59878,1.54722,1.55361,0.00082925,0.00082925,0.00082925
19,49.2087,1.41346,1.43447,1.71591,0.64716,0.66347,0.66903,0.37541,1.58089,1.53806,1.56962,0.0008045,0.0008045,0.0008045
20,50.473,1.3918,1.33344,1.60892,0.64577,0.67329,0.66028,0.37719,1.5524,1.5051,1.58116,0.00077975,0.00077975,0.00077975
21,51.6591,1.39126,1.27862,1.47553,0.61928,0.66081,0.65202,0.38184,1.52898,1.47313,1.59286,0.000755,0.000755,0.000755
22,52.8327,1.38744,1.19836,1.54645,0.66957,0.66474,0.69538,0.39973,1.5047,1.43707,1.5736,0.00073025,0.00073025,0.00073025
23,54.0419,1.35711,1.18043,1.48587,0.61107,0.6454,0.66109,0.39656,1.49056,1.41935,1.55252,0.0007055,0.0007055,0.0007055
24,55.2738,1.39627,1.2196,1.56068,0.5949,0.62151,0.64645,0.39157,1.48536,1.41997,1.54459,0.00068075,0.00068075,0.00068075
25,56.4953,1.3159,1.1107,1.52298,0.57802,0.61524,0.6456,0.39805,1.47986,1.42204,1.53989,0.000656,0.000656,0.000656
