epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2555,1.88601,3.92478,2.15826,0.14871,0.07927,0.09396,0.07117,1.81072,3.41257,1.66414,8.75e-05,8.75e-05,8.75e-05
2,25.5875,1.7437,3.44782,1.97304,0.27083,0.1393,0.20148,0.13972,1.65008,2.89758,1.5434,0.000183787,0.000183787,0.000183787
3,26.9244,1.59239,2.87698,1.60011,0.35754,0.26493,0.3372,0.21807,1.55659,2.36717,1.50274,0.000276115,0.000276115,0.000276115
4,28.3125,1.43063,2.28591,1.71685,0.3678,0.36935,0.4151,0.2612,1.5355,1.92134,1.48037,0.000364482,0.000364482,0.000364482
5,29.64,1.34229,1.83942,1.59655,0.62501,0.44072,0.45057,0.27811,1.52414,1.85346,1.48373,0.00044889,0.00044889,0.00044889
6,30.9507,1.36375,1.65728,1.69002,0.71722,0.44323,0.4956,0.30912,1.51772,1.8164,1.47275,0.000529338,0.000529338,0.000529338
7,32.2938,1.42104,1.55382,1.4245,0.7439,0.44191,0.55328,0.32933,1.50714,1.63693,1.46107,0.000605825,0.000605825,0.000605825
8,33.6666,1.37188,1.55175,1.58051,0.79252,0.4028,0.56871,0.33972,1.49304,1.5556,1.46536,0.000678352,0.000678352,0.000678352
9,35.1147,1.38833,1.56683,1.65958,0.51381,0.5386,0.60433,0.35955,1.4759,1.53122,1.50876,0.00074692,0.00074692,0.00074692
10,36.4992,1.30606,1.4011,1.69539,0.61513,0.60486,0.61104,0.35609,1.49568,1.4601,1.52822,0.000811528,0.000811528,0.000811528
11,37.7708,1.31868,1.31417,1.60304,0.65131,0.63302,0.62503,0.36548,1.49594,1.41003,1.51445,0.000872175,0.000872175,0.000872175
12,39.1105,1.39514,1.45148,1.53233,0.69004,0.61708,0.62489,0.37562,1.45554,1.45399,1.47679,0.000928863,0.000928863,0.000928863
13,40.4966,1.26597,1.2965,1.48601,0.77632,0.59826,0.63766,0.39363,1.40892,1.44346,1.48099,0.000953,0.000953,0.000953
14,41.713,1.30447,1.32553,1.57692,0.74444,0.56626,0.62993,0.38916,1.39706,1.38788,1.49746,0.00092825,0.00092825,0.00092825
15,42.8129,1.28873,1.33856,1.60054,0.65555,0.57833,0.61388,0.37713,1.40336,1.36377,1.50557,0.0009035,0.0009035,0.0009035
