epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4055,2.03486,3.87673,2.49385,0.12122,0.38489,0.19395,0.09697,1.98663,3.59976,2.09075,8.75e-05,8.75e-05,8.75e-05
2,26.8643,1.84422,3.61217,2.18833,0.10533,0.45029,0.25453,0.13844,1.80988,3.31752,1.86155,0.000183787,0.000183787,0.000183787
3,28.2038,1.70063,3.35843,1.74992,0.37619,0.27357,0.31629,0.1883,1.67183,3.00981,1.7127,0.000276115,0.000276115,0.000276115
4,29.5597,1.54403,2.86619,1.84708,0.65928,0.27979,0.36812,0.22831,1.63182,2.5989,1.65712,0.000364482,0.000364482,0.000364482
5,30.8638,1.43888,2.32319,1.68454,0.93873,0.26803,0.41857,0.25661,1.62014,2.26779,1.62143,0.00044889,0.00044889,0.00044889
6,32.1262,1.48646,2.00422,1.77124,0.53329,0.46501,0.5002,0.30702,1.60061,1.93928,1.57358,0.000529338,0.000529338,0.000529338
7,33.4187,1.53217,1.62701,1.50268,0.54796,0.55151,0.49206,0.31103,1.5715,1.75523,1.56096,0.000605825,0.000605825,0.000605825
8,34.7327,1.4888,1.72177,1.64015,0.56267,0.54487,0.49527,0.31522,1.57087,1.73934,1.55328,0.000678352,0.000678352,0.000678352
9,35.9846,1.504,1.66167,1.69404,0.63016,0.52551,0.53871,0.32766,1.59887,1.75454,1.5719,0.00074692,0.00074692,0.00074692
10,37.2977,1.47861,1.50128,1.72584,0.56568,0.50442,0.51056,0.31258,1.57431,2.00148,1.53933,0.000811528,0.000811528,0.000811528
11,38.4546,1.47809,1.41493,1.625,0.56805,0.52967,0.56314,0.34704,1.55526,1.75583,1.49735,0.000872175,0.000872175,0.000872175
12,39.6667,1.49307,1.46422,1.55763,0.6449,0.59467,0.59944,0.36488,1.54348,1.53404,1.51099,0.000928863,0.000928863,0.000928863
13,40.9346,1.34468,1.29856,1.53553,0.69925,0.56834,0.61579,0.36707,1.49695,1.46302,1.51813,0.000953,0.000953,0.000953
14,42.2967,1.38617,1.31758,1.5601,0.61881,0.69936,0.61024,0.34961,1.49953,1.47284,1.49436,0.00092825,0.00092825,0.00092825
15,43.5992,1.3799,1.39939,1.59935,0.67011,0.67209,0.66314,0.37819,1.50682,1.45263,1.4766,0.0009035,0.0009035,0.0009035
16,45.0536,1.37223,1.26284,1.67952,0.62555,0.64997,0.63625,0.39801,1.52165,1.46958,1.48432,0.00087875,0.00087875,0.00087875
17,46.7488,1.35128,1.13771,1.47285,0.66371,0.59613,0.65645,0.40574,1.54036,1.44365,1.47421,0.000854,0.000854,0.000854
18,48.2054,1.35323,1.16056,1.53441,0.63527,0.6053,0.6541,0.41419,1.48548,1.41,1.4354,0.00082925,0.00082925,0.00082925
19,50.0992,1.3167,1.29061,1.61137,0.64341,0.65336,0.6898,0.41911,1.46212,1.39536,1.4249,0.0008045,0.0008045,0.0008045
20,51.9563,1.29081,1.178,1.54006,0.71015,0.63675,0.70069,0.42154,1.44862,1.37387,1.43557,0.00077975,0.00077975,0.00077975
21,53.8744,1.27658,1.11761,1.39782,0.71051,0.55473,0.67545,0.42929,1.42863,1.37306,1.45071,0.000755,0.000755,0.000755
22,55.7765,1.26031,1.02986,1.50146,0.64523,0.63547,0.68999,0.44165,1.40908,1.34511,1.43885,0.00073025,0.00073025,0.00073025
23,57.4379,1.24855,1.04341,1.43974,0.66161,0.65232,0.69523,0.45003,1.4013,1.281,1.42048,0.0007055,0.0007055,0.0007055
24,59.2179,1.26644,1.06804,1.53701,0.66471,0.66391,0.70946,0.45364,1.40929,1.25831,1.40709,0.00068075,0.00068075,0.00068075
25,61.0172,1.22468,0.99746,1.49058,0.60896,0.68381,0.69794,0.44882,1.41482,1.26615,1.40282,0.000656,0.000656,0.000656
26,62.5508,1.16162,0.97262,1.49873,0.65522,0.59976,0.6786,0.44182,1.41774,1.29812,1.41199,0.00063125,0.00063125,0.00063125
27,63.9774,1.20521,1.02476,1.50525,0.65688,0.56653,0.66628,0.43825,1.41611,1.33118,1.43136,0.0006065,0.0006065,0.0006065
28,65.4244,1.17347,0.96543,1.5587,0.57228,0.63315,0.66243,0.43668,1.41489,1.35697,1.44755,0.00058175,0.00058175,0.00058175
29,66.8305,1.16773,1.02264,1.53441,0.56378,0.6299,0.67122,0.44369,1.40495,1.37578,1.4421,0.000557,0.000557,0.000557
30,68.3151,1.18819,0.96337,1.45179,0.592,0.61403,0.66355,0.43723,1.40331,1.37249,1.43893,0.00053225,0.00053225,0.00053225
31,70.0829,1.09612,0.89271,1.48084,0.60228,0.6173,0.66408,0.44212,1.42219,1.36141,1.43948,0.0005075,0.0005075,0.0005075
32,71.7085,1.18507,0.97767,1.72471,0.6964,0.59982,0.65608,0.44052,1.42413,1.34432,1.4343,0.00048275,0.00048275,0.00048275
33,73.1363,1.12603,0.88729,1.49773,0.70583,0.61685,0.66492,0.45421,1.40999,1.33053,1.42615,0.000458,0.000458,0.000458
34,74.6594,1.10404,0.91371,1.57819,0.71729,0.60538,0.67548,0.45685,1.39621,1.3375,1.42612,0.00043325,0.00043325,0.00043325
