epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08769,2.22428,4.02983,2.17737,0.33436,0.07317,0.08274,0.06703,2.20631,3.78301,1.67323,8.75e-05,8.75e-05,8.75e-05
2,9.15045,2.1971,3.85716,1.98409,0.34495,0.08537,0.10826,0.08164,2.02654,3.34826,1.55748,0.000183787,0.000183787,0.000183787
3,10.8928,2.0298,3.40671,1.67139,0.12166,0.51861,0.22705,0.12974,1.91541,2.76222,1.50454,0.000276115,0.000276115,0.000276115
4,12.0948,1.73061,2.65539,1.64087,0.40324,0.41866,0.34185,0.18009,1.8248,2.22383,1.49835,0.000364482,0.000364482,0.000364482
5,13.2896,1.62302,2.17466,1.62982,0.3953,0.45964,0.3956,0.20067,1.79178,2.20834,1.4917,0.00044889,0.00044889,0.00044889
6,14.4949,1.61159,1.87415,1.65785,0.49902,0.49789,0.4212,0.2197,1.76399,2.08533,1.47987,0.000529338,0.000529338,0.000529338
7,15.7135,1.68621,1.77297,1.44847,0.62853,0.38416,0.44564,0.24916,1.70897,1.98152,1.4601,0.000605825,0.000605825,0.000605825
8,16.9748,1.5791,1.74764,1.55976,0.59623,0.38844,0.4509,0.26241,1.66899,1.92921,1.44704,0.000678352,0.000678352,0.000678352
9,18.271,1.53623,1.65803,1.62603,0.44143,0.46289,0.48385,0.28619,1.62677,1.97151,1.44351,0.00074692,0.00074692,0.00074692
10,19.4795,1.5363,1.53614,1.59657,0.4225,0.51322,0.48155,0.29018,1.61716,2.00302,1.42963,0.000811528,0.000811528,0.000811528
11,20.6658,1.48709,1.47553,1.54578,0.46877,0.47453,0.4783,0.28488,1.62493,1.92716,1.42736,0.000872175,0.000872175,0.000872175
12,21.7704,1.62513,1.67661,1.51617,0.50646,0.50373,0.4817,0.28926,1.63243,1.78529,1.43205,0.000928863,0.000928863,0.000928863
13,22.9699,1.45367,1.4686,1.51885,0.47961,0.57631,0.48962,0.29052,1.61629,1.68358,1.43566,0.000953,0.000953,0.000953
14,24.1648,1.51394,1.47034,1.53778,0.48249,0.61394,0.50807,0.29583,1.60623,1.73601,1.44737,0.00092825,0.00092825,0.00092825
15,25.8122,1.48657,1.50436,1.55145,0.50457,0.59332,0.53095,0.31126,1.60528,1.7116,1.45647,0.0009035,0.0009035,0.0009035
16,27.0461,1.49418,1.415,1.59518,0.53808,0.57246,0.53848,0.31928,1.5958,1.67699,1.45504,0.00087875,0.00087875,0.00087875
17,28.2031,1.48167,1.32496,1.41695,0.56043,0.5448,0.54579,0.32857,1.60279,1.61749,1.44969,0.000854,0.000854,0.000854
18,29.357,1.40095,1.27361,1.4741,0.59471,0.50158,0.55377,0.34276,1.60557,1.55338,1.45015,0.00082925,0.00082925,0.00082925
19,30.5297,1.35211,1.36235,1.57027,0.69797,0.47041,0.57195,0.35452,1.59481,1.49762,1.44559,0.0008045,0.0008045,0.0008045
20,31.7533,1.40635,1.29663,1.4954,0.61468,0.50962,0.57515,0.36045,1.59754,1.446,1.44164,0.00077975,0.00077975,0.00077975
21,32.8948,1.44912,1.27853,1.38895,0.67195,0.48461,0.58041,0.35864,1.61478,1.42335,1.45248,0.000755,0.000755,0.000755
22,34.2036,1.35902,1.20732,1.43991,0.64249,0.51727,0.58236,0.36659,1.60781,1.39669,1.45246,0.00073025,0.00073025,0.00073025
23,35.4265,1.37652,1.22612,1.42589,0.633,0.51822,0.59611,0.36851,1.56824,1.37028,1.45531,0.0007055,0.0007055,0.0007055
24,36.6291,1.36719,1.20444,1.52121,0.70811,0.48138,0.59923,0.37255,1.54674,1.35276,1.45679,0.00068075,0.00068075,0.00068075
25,37.8432,1.32323,1.1286,1.49437,0.69709,0.50502,0.60422,0.37618,1.54087,1.3539,1.46109,0.000656,0.000656,0.000656
26,39.0642,1.31077,1.15088,1.48736,0.65142,0.54853,0.61379,0.38791,1.5321,1.35919,1.45327,0.00063125,0.00063125,0.00063125
27,40.5567,1.34554,1.1661,1.47917,0.67378,0.52079,0.62403,0.39942,1.51576,1.37666,1.4455,0.0006065,0.0006065,0.0006065
28,41.5687,1.30531,1.10332,1.45605,0.68853,0.5055,0.62308,0.40689,1.49576,1.37471,1.43133,0.00058175,0.00058175,0.00058175
29,42.5662,1.26086,1.11646,1.497,0.65125,0.51868,0.61822,0.40076,1.48395,1.35085,1.42326,0.000557,0.000557,0.000557
30,43.5368,1.34547,1.07378,1.42124,0.64748,0.53263,0.61357,0.39729,1.48108,1.33179,1.4285,0.00053225,0.00053225,0.00053225
31,44.5318,1.22133,1.01203,1.42745,0.65332,0.52698,0.60662,0.39751,1.48037,1.31999,1.4321,0.0005075,0.0005075,0.0005075
32,45.6211,1.21704,1.13246,1.56166,0.65358,0.54186,0.6043,0.39623,1.48419,1.31221,1.43385,0.00048275,0.00048275,0.00048275
33,46.7325,1.23928,1.05116,1.45525,0.69726,0.52528,0.61083,0.40071,1.49419,1.29527,1.43563,0.000458,0.000458,0.000458
34,47.7496,1.22504,1.08919,1.53439,0.67101,0.5506,0.62655,0.40683,1.49611,1.27494,1.43159,0.00043325,0.00043325,0.00043325
35,48.8139,1.28722,1.06301,1.42836,0.73188,0.537,0.63665,0.41258,1.49335,1.26255,1.42508,0.0004085,0.0004085,0.0004085
36,49.9339,1.2691,1.01404,1.44133,0.77029,0.53102,0.638,0.41285,1.48506,1.25836,1.4272,0.00038375,0.00038375,0.00038375
37,51.0953,1.23984,1.02464,1.40367,0.76575,0.53103,0.64181,0.42006,1.47171,1.25136,1.42431,0.000359,0.000359,0.000359
38,52.8787,1.15998,0.96641,1.43708,0.75336,0.53297,0.64461,0.42494,1.45503,1.25067,1.42584,0.00033425,0.00033425,0.00033425
39,54.0851,1.29361,1.00762,1.35342,0.75545,0.52437,0.65477,0.43462,1.43773,1.25412,1.42199,0.0003095,0.0003095,0.0003095
40,55.2776,1.25956,1.0694,1.4305,0.7786,0.50191,0.65011,0.43528,1.4325,1.26023,1.41999,0.00028475,0.00028475,0.00028475
41,57.73,1.10596,0.977,1.43647,0.62753,0.56825,0.64526,0.4323,1.42715,1.26467,1.41621,0.00026,0.00026,0.00026
42,58.8647,1.16731,1.02118,1.43615,0.65719,0.55739,0.63933,0.42766,1.4198,1.25963,1.40693,0.00023525,0.00023525,0.00023525
43,60.0958,1.15323,1.03993,1.42864,0.66401,0.5581,0.64246,0.43033,1.41548,1.25903,1.39744,0.0002105,0.0002105,0.0002105
44,61.2327,1.1767,0.94528,1.36771,0.66575,0.54891,0.64778,0.43109,1.41764,1.25948,1.38569,0.00018575,0.00018575,0.00018575
45,62.3781,1.10963,0.97161,1.43738,0.65334,0.5552,0.64261,0.42991,1.41449,1.26127,1.38161,0.000161,0.000161,0.000161
46,63.5517,1.0935,0.9692,1.39674,0.68526,0.53393,0.64666,0.43465,1.41614,1.26872,1.37914,0.00013625,0.00013625,0.00013625
47,64.7295,1.11163,0.9506,1.4461,0.66173,0.54931,0.64745,0.43021,1.42254,1.2775,1.38054,0.0001115,0.0001115,0.0001115
48,65.8829,1.07801,0.92244,1.41428,0.67131,0.5459,0.64645,0.42933,1.42112,1.28455,1.37881,8.675e-05,8.675e-05,8.675e-05
49,67.5398,1.17687,0.99637,1.39184,0.67937,0.53725,0.64441,0.42849,1.42078,1.28389,1.38044,6.2e-05,6.2e-05,6.2e-05
50,68.6549,1.13681,0.93702,1.32031,0.67529,0.53584,0.6414,0.42492,1.42466,1.27986,1.37904,3.725e-05,3.725e-05,3.725e-05
