epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6576,1.78765,3.83441,2.11221,0.06776,0.24796,0.07867,0.0556,1.7132,3.28543,1.68028,8.75e-05,8.75e-05,8.75e-05
2,29.969,1.65654,3.19848,1.92186,0.27049,0.30353,0.24442,0.15832,1.55937,2.65911,1.57236,0.000183787,0.000183787,0.000183787
3,31.3748,1.46588,2.38379,1.56289,0.47161,0.35263,0.3834,0.24769,1.49033,1.95487,1.52473,0.000276115,0.000276115,0.000276115
4,32.8719,1.35111,1.84611,1.69535,0.74069,0.47317,0.45923,0.29627,1.45704,1.73884,1.50806,0.000364482,0.000364482,0.000364482
5,34.6207,1.26215,1.61291,1.57946,0.77464,0.45905,0.50114,0.31078,1.44502,1.80695,1.50788,0.00044889,0.00044889,0.00044889
6,36.1506,1.25307,1.46347,1.67269,0.73015,0.47848,0.54099,0.33282,1.44361,1.69454,1.48851,0.000529338,0.000529338,0.000529338
7,37.5315,1.31131,1.35586,1.39683,0.74014,0.45318,0.5484,0.34471,1.44178,1.52909,1.47211,0.000605825,0.000605825,0.000605825
8,38.8574,1.26974,1.35533,1.51779,0.49576,0.58615,0.58228,0.35579,1.44185,1.47377,1.4569,0.000678352,0.000678352,0.000678352
9,40.2408,1.26845,1.28596,1.5797,0.60907,0.58657,0.61669,0.36426,1.44299,1.41684,1.48008,0.00074692,0.00074692,0.00074692
10,41.4787,1.22389,1.17399,1.60343,0.64492,0.56384,0.62192,0.36562,1.46069,1.43575,1.4967,0.000811528,0.000811528,0.000811528
11,42.7587,1.19685,1.10347,1.51836,0.62314,0.62769,0.62267,0.37377,1.44483,1.42642,1.48697,0.000872175,0.000872175,0.000872175
12,43.9857,1.27968,1.25444,1.49948,0.67785,0.60214,0.61818,0.38119,1.42062,1.38608,1.48639,0.000928863,0.000928863,0.000928863
13,45.283,1.14962,1.09904,1.43571,0.61337,0.65191,0.61707,0.39101,1.40558,1.33498,1.50033,0.000953,0.000953,0.000953
14,46.7036,1.20828,1.08844,1.50957,0.61853,0.62214,0.61728,0.39297,1.41011,1.31773,1.516,0.00092825,0.00092825,0.00092825
15,48.028,1.17594,1.11142,1.54721,0.59013,0.64701,0.61407,0.39246,1.41708,1.31689,1.52201,0.0009035,0.0009035,0.0009035
16,49.4546,1.1765,1.04869,1.6437,0.63706,0.63685,0.63442,0.40733,1.42573,1.31481,1.51109,0.00087875,0.00087875,0.00087875
17,50.9923,1.18119,0.98824,1.4149,0.60529,0.63337,0.64108,0.41413,1.43894,1.30273,1.50199,0.000854,0.000854,0.000854
18,52.312,1.15518,0.97102,1.49162,0.66555,0.62062,0.66774,0.43068,1.4298,1.28695,1.49146,0.00082925,0.00082925,0.00082925
