epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8486,1.18693,2.81154,1.97401,0.56644,0.44775,0.45429,0.29948,1.02246,1.60216,1.81857,0.00016622,0.00016622,0.00016622
2,115.795,0.99649,1.23403,1.73331,0.68237,0.61775,0.64981,0.43464,1.04961,1.00242,1.80215,0.000326295,0.000326295,0.000326295
3,158.99,0.97089,0.98797,1.713,0.77046,0.64096,0.70783,0.45894,1.05926,0.91132,1.8108,0.000479771,0.000479771,0.000479771
4,204.385,0.94677,0.88333,1.68627,0.75297,0.71755,0.75989,0.52034,0.94577,0.93522,1.74511,0.0004703,0.0004703,0.0004703
5,248.13,0.89695,0.81801,1.67816,0.80522,0.64632,0.7132,0.49175,0.99983,0.84787,1.776,0.0004604,0.0004604,0.0004604
6,293.764,0.88277,0.77628,1.67045,0.80687,0.66413,0.73731,0.51755,0.95931,0.71054,1.68841,0.0004505,0.0004505,0.0004505
7,336.48,0.86054,0.72485,1.629,0.67634,0.77317,0.72311,0.53511,0.90949,0.76767,1.70122,0.0004406,0.0004406,0.0004406
8,380.253,0.84717,0.72122,1.63342,0.75885,0.80998,0.81905,0.51874,0.97854,0.73963,1.68232,0.0004307,0.0004307,0.0004307
9,425.475,0.84022,0.70081,1.64028,0.70517,0.69934,0.74104,0.52593,0.99562,0.72695,1.718,0.0004208,0.0004208,0.0004208
10,468.63,0.81897,0.66566,1.61181,0.76847,0.78441,0.80365,0.57698,0.90755,0.74446,1.67047,0.0004109,0.0004109,0.0004109
11,512.377,0.80555,0.64352,1.5946,0.88945,0.6896,0.81926,0.58684,0.88876,0.66355,1.65221,0.000401,0.000401,0.000401
12,556.841,0.8036,0.63648,1.61026,0.74315,0.80014,0.8044,0.5607,0.84909,0.71109,1.64002,0.0003911,0.0003911,0.0003911
13,599.765,0.78211,0.60998,1.58619,0.76564,0.82793,0.86316,0.60424,0.8107,0.66798,1.6296,0.0003812,0.0003812,0.0003812
14,644.293,0.7664,0.59091,1.58247,0.70343,0.7169,0.77605,0.59718,0.83435,0.65397,1.64976,0.0003713,0.0003713,0.0003713
15,688.607,0.77597,0.59069,1.57337,0.74863,0.85285,0.88784,0.64578,0.84054,0.65738,1.65036,0.0003614,0.0003614,0.0003614
16,732.655,0.76786,0.59127,1.56471,0.6197,0.94355,0.86673,0.60529,0.85749,0.68841,1.63704,0.0003515,0.0003515,0.0003515
17,777.408,0.75756,0.57414,1.59141,0.72975,0.93692,0.93565,0.66606,0.83724,0.6182,1.65798,0.0003416,0.0003416,0.0003416
18,822.343,0.75752,0.57462,1.58629,0.73432,0.911,0.93122,0.6425,0.83154,0.56324,1.64244,0.0003317,0.0003317,0.0003317
19,865.335,0.74832,0.55975,1.55072,0.88669,0.82445,0.93552,0.67518,0.78425,0.60773,1.62187,0.0003218,0.0003218,0.0003218
20,910.821,0.73993,0.5548,1.54905,0.83362,0.87079,0.8844,0.61982,0.83133,0.60471,1.65485,0.0003119,0.0003119,0.0003119
21,954.63,0.72884,0.53561,1.54934,0.79846,0.87493,0.87969,0.65808,0.84525,0.60032,1.65429,0.000302,0.000302,0.000302
22,999.414,0.71907,0.53375,1.56937,0.7578,0.86543,0.89017,0.63542,0.79829,0.58857,1.63119,0.0002921,0.0002921,0.0002921
23,1044.05,0.72155,0.53111,1.56799,0.75385,0.77928,0.83989,0.5964,0.82331,0.6449,1.60023,0.0002822,0.0002822,0.0002822
24,1088.44,0.71201,0.51665,1.52619,0.78635,0.85474,0.88779,0.64921,0.79107,0.56514,1.5957,0.0002723,0.0002723,0.0002723
25,1133.01,0.71052,0.5136,1.54018,0.86878,0.85693,0.89229,0.65186,0.80522,0.54298,1.6546,0.0002624,0.0002624,0.0002624
